"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643547238752496;"23:13:17";"23:13:17";"1640B";4;0;0
"M1";113643547238752496;"23:16:00";"23:16:00";"1382";5;0;0
"M1";113643548238752496;"23:13:00";"23:13:00";"7832";1;0;0
"M1";113643548238752496;"23:16:00";"23:16:00";"2913";2;0;0
"M1";113643548238752496;"23:16:52";"23:16:52";"1639";3;0;0
"M1";113643548238752496;"23:18:17";"23:18:17";"1640B";4;0;0
"M1";113643548238752496;"23:21:00";"23:21:00";"1382";5;0;0
"M1";113643549238752496;"23:18:00";"23:18:00";"7832";1;0;0
"M1";113643549238752496;"23:21:00";"23:21:00";"2913";2;0;0
"M1";113643549238752496;"23:21:52";"23:21:52";"1639";3;0;0
"M1";113643549238752496;"23:23:17";"23:23:17";"1640B";4;0;0
"M1";113643549238752496;"23:26:00";"23:26:00";"1382";5;0;0
"M1";113643550238752496;"23:23:00";"23:23:00";"7832";1;0;0
"M1";113643550238752496;"23:26:00";"23:26:00";"2913";2;0;0
"M1";113643550238752496;"23:26:52";"23:26:52";"1639";3;0;0
"M1";113643550238752496;"23:28:17";"23:28:17";"1640B";4;0;0
"M1";113643550238752496;"23:31:00";"23:31:00";"1382";5;0;0
"M1";113643551238752496;"23:28:00";"23:28:00";"7832";1;0;0
"M1";113643551238752496;"23:31:00";"23:31:00";"2913";2;0;0
"M1";113643551238752496;"23:31:52";"23:31:52";"1639";3;0;0
"M1";113643551238752496;"23:33:17";"23:33:17";"1640B";4;0;0
"M1";113643551238752496;"23:36:00";"23:36:00";"1382";5;0;0
"M1";113643552238752496;"23:33:00";"23:33:00";"7832";1;0;0
"M1";113643552238752496;"23:36:00";"23:36:00";"2913";2;0;0
"M1";113643552238752496;"23:36:52";"23:36:52";"1639";3;0;0
"M1";113643552238752496;"23:38:17";"23:38:17";"1640B";4;0;0
"M1";113643552238752496;"23:41:00";"23:41:00";"1382";5;0;0
"M1";113643553238752496;"23:38:00";"23:38:00";"7832";1;0;0
"M1";113643553238752496;"23:41:00";"23:41:00";"2913";2;0;0
"M1";113643553238752496;"23:41:52";"23:41:52";"1639";3;0;0
"M1";113643553238752496;"23:43:17";"23:43:17";"1640B";4;0;0
"M1";113643553238752496;"23:46:00";"23:46:00";"1382";5;0;0
"M1";113643554238752496;"23:43:00";"23:43:00";"7832";1;0;0
"M1";113643554238752496;"23:46:00";"23:46:00";"2913";2;0;0
"M1";113643554238752496;"23:46:52";"23:46:52";"1639";3;0;0
"M1";113643554238752496;"23:48:17";"23:48:17";"1640B";4;0;0
"M1";113643554238752496;"23:51:00";"23:51:00";"1382";5;0;0
"M1";113643555238752496;"23:48:00";"23:48:00";"7832";1;0;0
"M1";113643555238752496;"23:51:00";"23:51:00";"2913";2;0;0
"M1";113643555238752496;"23:51:52";"23:51:52";"1639";3;0;0
"M1";113643555238752496;"23:53:17";"23:53:17";"1640B";4;0;0
"M1";113643555238752496;"23:56:00";"23:56:00";"1382";5;0;0
"M1";113643556238752496;"23:53:00";"23:53:00";"7832";1;0;0
"M1";113643556238752496;"23:56:00";"23:56:00";"2913";2;0;0
"M1";113643556238752496;"23:56:52";"23:56:52";"1639";3;0;0
"M1";113643556238752496;"23:58:17";"23:58:17";"1640B";4;0;0
"M1";113643556238752496;"24:01:00";"24:01:00";"1382";5;0;0
"M1";113643557238752496;"23:58:00";"23:58:00";"7832";1;0;0
"M1";113643557238752496;"24:01:00";"24:01:00";"2913";2;0;0
"M1";113643557238752496;"24:01:52";"24:01:52";"1639";3;0;0
"M1";113643557238752496;"24:03:17";"24:03:17";"1640B";4;0;0
"M1";113643557238752496;"24:06:00";"24:06:00";"1382";5;0;0
"M1";113643558238752496;"24:03:00";"24:03:00";"7832";1;0;0
"M1";113643558238752496;"24:06:00";"24:06:00";"2913";2;0;0
"M1";113643558238752496;"24:06:52";"24:06:52";"1639";3;0;0
