"Line","Variance","From","To","Speed Average"
13,0,"1711","1599",13.11751168300152
13,0,"1599","2850",11.071451754283729
13,0,"2850","1328",19.573822716461713
13,0,"1328","1721",23.760268804036667
13,0,"1721","1722",11.779348489500686
13,0,"1722","1727",14.713732406080279
13,1,"1732","1743",13.394070628938914
13,1,"1743","1744",18.459147523259688
13,1,"1744","1334",15.743514798758854
13,1,"1334","2849",20.046655009084912
13,1,"2849","1606",7.176997607200275
13,1,"1606","1746",
13,1,"1746","1008",
13,1,"1008","1009",
13,1,"1009","1010",0.6852086574701574
13,1,"1010","1747",10.857448573681545
13,1,"1747","1748",19.17692282875676
13,1,"1748","4112",9.512989219730128
13,1,"4112","4105",14.505424504361375
13,1,"4105","2423",2.910293624118081
13,1,"2423","2519",18.28555317048553
13,1,"2519","4116",10.195412785094794
13,1,"4116","1112",30.291500544238836
13,1,"1112","1114B",
13,1,"1114B","1115",
13,1,"1115","4111",
14,0,"4264B","6481",15.389594428552652
14,0,"6481","4228",14.131182023437551
14,0,"4228","4205B",18.12567897282261
14,0,"4205B","4223",10.077805195160408
14,0,"4223","1328",17.8594369680959
14,0,"1328","1721",21.890006136646313
14,0,"1721","1722",17.314267716686707
14,0,"1722","1368",1.163182018880443
14,0,"1368","1768",5.228372176024154
14,0,"1768","2801",10.20537095426784
14,0,"2801","2803",13.113862690293852
14,0,"2803","6800",12.901352341171958
14,0,"6800","2584",14.041726693197809
14,0,"2584","2586",15.874002170173338
14,0,"2586","1775",12.110368975591609
14,0,"1775","1782",15.17348838867792
14,0,"1782","5009",12.028149169169126
14,0,"5009","5011",10.785358230918115
14,0,"5011","1019",16.49661099037399
14,0,"1019","1351",13.046418446473847
14,0,"1351","1349",11.044111938045932
14,0,"1349","1016",10.059791002714585
14,0,"1016","1024",11.296878426951274
14,0,"1024","1083",15.951187510365628
14,1,"1082","1052",11.147153544593463
14,1,"1052","1051",10.858504666116287
14,1,"1051","1348",13.092621950920835
14,1,"1348","1350",13.217192829435334
14,1,"1350","1056",13.343925491742082
14,1,"1056","5074",12.106499743549058
14,1,"5074","5076",4.18278099036174
14,1,"5076","1766",13.9043538358029
14,1,"1766","1767",13.187814406122754
14,1,"1767","2515B",15.794440104802643
14,1,"2515B","2498",12.596546445553182
14,1,"2498","6869",12.226662748461914
14,1,"6869","2871",14.730771740731372
14,1,"2871","2873",4.7777549359894556
14,1,"2873","1755",10.047531502098668
14,1,"1755","1103",13.519627735962294
14,1,"1103","1743",18.108265243007057
14,1,"1743","1744",21.680821500843305
14,1,"1744","4071",15.420673232754464
14,1,"4071","4072B",18.44318104335292
14,1,"4072B","4261",18.290756449901917
14,1,"4261","4268",3.492947663377479
14,1,"4268","6482",14.308638569899955
14,1,"6482","4265",32.412642173715575
17,0,"4297","4298",20.87221888176302
17,0,"4298","4299",14.000260285440962
17,0,"4299","4310",16.270851977941078
17,0,"4310","4311",17.851945995332308
17,0,"4311","1453",19.54484076119124
17,0,"1453","4313",13.963473861054046
17,0,"4313","4347",18.877857543015626
17,0,"4347","4349",13.338301267112561
