"LineID";"DirectionID";"DistanceFromPoint";"PointID";"Time";"Variance"
89;3347;325;3259;02:46:55;0
89;1261;0;3226;02:46:55;1
89;1261;0;3222;02:46:55;1
89;2782;0;2748;02:46:55;-1
89;3347;95;1204;02:46:55;0
89;3347;34;1207;02:46:55;0
89;2788;245;1820;02:46:55;-1
89;1261;38;2536;02:46:55;1
89;1261;54;2768;02:46:55;1
89;1261;0;3347;02:46:55;1
89;3347;325;3259;12:16:57;0
89;1261;38;3226;12:16:57;1
89;1261;4;3222;12:16:57;1
89;2782;0;2748;12:16:57;-1
89;3347;328;1204;12:16:57;0
89;3347;34;1207;12:16:57;0
89;2788;378;1820;12:16:57;-1
89;1261;38;2536;12:16:57;1
89;1261;54;2768;12:16:57;1
89;3347;0;3260;21:40:09;0
89;1261;117;3226;21:40:09;1
89;1261;4;3222;21:40:09;1
89;2782;0;2748;21:40:09;-1
89;3347;330;1204;21:40:09;0
89;3347;34;1207;21:40:09;0
89;2788;378;1820;21:40:09;-1
89;1261;38;2536;21:40:09;1
89;1261;319;2768;21:40:09;1
89;1261;0;3347;21:40:09;1
89;3347;28;3260;06:55:47;0
89;1261;264;3226;06:55:47;1
89;1261;101;3222;06:55:47;1
89;2782;0;2748;06:55:47;-1
89;3347;369;1204;06:55:47;0
89;3347;38;2748;06:55:47;0
89;2788;378;1820;06:55:47;-1
89;1261;489;2768;06:55:47;1
89;1261;0;3347;06:55:47;1
89;3347;38;3260;15:47:19;0
89;1261;267;3226;15:47:19;1
89;1261;282;3222;15:47:19;1
89;3347;378;1204;15:47:19;0
89;3347;38;2748;15:47:19;0
89;2788;378;1820;15:47:19;-1
89;1261;111;2750;15:47:19;1
89;1261;0;3347;15:47:19;1
89;3347;141;3260;00:46:37;0
89;1261;482;3226;00:46:37;1
89;1261;145;3223;00:46:37;1
89;3347;528;1204;00:46:37;0
89;3347;38;2748;00:46:37;0
89;2788;378;1820;00:46:37;-1
89;1261;0;1261;00:46:37;1
89;1261;3;1257;00:46:37;1
89;1261;0;3347;00:46:37;1
89;3347;141;3260;09:37:25;0
89;1261;504;3226;09:37:25;1
89;1261;145;3223;09:37:25;1
89;3347;0;1205;09:37:25;0
89;3347;42;2754;09:37:25;0
89;1261;0;1261;09:37:25;1
89;1261;82;1257;09:37:25;1
89;1261;0;3347;09:37:25;1
89;3347;36;3261;18:07:42;0
89;1261;505;3226;18:07:42;1
89;1261;145;3223;18:07:42;1
89;3347;3;1205;18:07:42;0
89;3347;42;2754;18:07:42;0
89;1261;0;1261;18:07:42;1
89;1261;324;1257;18:07:42;1
89;1261;0;3347;18:07:42;1
89;3347;36;3261;03:05:15;0
89;1261;712;3226;03:05:15;1
89;1261;69;3228;03:05:15;1
89;3347;0;1206;03:05:15;0
89;3347;42;2754;03:05:15;0
89;1261;0;1261;03:05:15;1
89;1261;5;2536;03:05:15;1
89;1261;0;3347;03:05:15;1
89;3347;36;3261;11:27:06;0
89;1261;561;4594;11:27:06;1
89;1261;69;3228;11:27:06;1
89;3347;38;1206;11:27:06;0
89;3347;276;2754;11:27:06;0
89;1261;0;1261;11:27:06;1
89;1261;118;2536;11:27:06;1
89;1261;0;3347;11:27:06;1
89;3347;36;3261;20:42:33;0
89;1261;561;4594;20:42:33;1
89;1261;69;3228;20:42:33;1
89;3347;38;1206;20:42:33;0
89;3347;10;2776;20:42:33;0
89;1261;376;2536;20:42:33;1
89;1261;0;3347;20:42:33;1
